Nut-to-Fret Positions (in)
Fret,String 1,String 2,String 3,String 4,String 5,String 6
0,0.000,0.000,0.000,0.000,0.000,0.000
1,1.431,1.431,1.431,1.431,1.431,1.431
2,2.782,2.782,2.782,2.782,2.782,2.782
3,4.057,4.057,4.057,4.057,4.057,4.057
4,5.261,5.261,5.261,5.261,5.261,5.261
5,6.397,6.397,6.397,6.397,6.397,6.397
6,7.469,7.469,7.469,7.469,7.469,7.469
7,8.481,8.481,8.481,8.481,8.481,8.481
8,9.436,9.436,9.436,9.436,9.436,9.436
9,10.338,10.338,10.338,10.338,10.338,10.338
10,11.189,11.189,11.189,11.189,11.189,11.189
11,11.992,11.992,11.992,11.992,11.992,11.992
12,12.750,12.750,12.750,12.750,12.750,12.750
13,13.466,13.466,13.466,13.466,13.466,13.466
14,14.141,14.141,14.141,14.141,14.141,14.141
15,14.779,14.779,14.779,14.779,14.779,14.779
16,15.380,15.380,15.380,15.380,15.380,15.380
17,15.948,15.948,15.948,15.948,15.948,15.948
18,16.484,16.484,16.484,16.484,16.484,16.484
19,16.990,16.990,16.990,16.990,16.990,16.990
20,17.468,17.468,17.468,17.468,17.468,17.468
21,17.919,17.919,17.919,17.919,17.919,17.919
22,18.344,18.344,18.344,18.344,18.344,18.344
23,18.746,18.746,18.746,18.746,18.746,18.746
24,19.125,19.125,19.125,19.125,19.125,19.125

Per-Fret Spacings (in)
Fret,String 1,String 2,String 3,String 4,String 5,String 6
0,0.000,0.000,0.000,0.000,0.000,0.000
1,1.431,1.431,1.431,1.431,1.431,1.431
2,1.351,1.351,1.351,1.351,1.351,1.351
3,1.275,1.275,1.275,1.275,1.275,1.275
4,1.203,1.203,1.203,1.203,1.203,1.203
5,1.136,1.136,1.136,1.136,1.136,1.136
6,1.072,1.072,1.072,1.072,1.072,1.072
7,1.012,1.012,1.012,1.012,1.012,1.012
8,0.955,0.955,0.955,0.955,0.955,0.955
9,0.902,0.902,0.902,0.902,0.902,0.902
10,0.851,0.851,0.851,0.851,0.851,0.851
11,0.803,0.803,0.803,0.803,0.803,0.803
12,0.758,0.758,0.758,0.758,0.758,0.758
13,0.716,0.716,0.716,0.716,0.716,0.716
14,0.675,0.675,0.675,0.675,0.675,0.675
15,0.638,0.638,0.638,0.638,0.638,0.638
16,0.602,0.602,0.602,0.602,0.602,0.602
17,0.568,0.568,0.568,0.568,0.568,0.568
18,0.536,0.536,0.536,0.536,0.536,0.536
19,0.506,0.506,0.506,0.506,0.506,0.506
20,0.478,0.478,0.478,0.478,0.478,0.478
21,0.451,0.451,0.451,0.451,0.451,0.451
22,0.425,0.425,0.425,0.425,0.425,0.425
23,0.402,0.402,0.402,0.402,0.402,0.402
24,0.379,0.379,0.379,0.379,0.379,0.379
